NUMERO,RAMA,CURSO,COMUNIDAD,PRIVADA,PRESENCIAL,SEXO,NACIONALIDAD,NOTA_MATEMATICAS,NOTA_BIOLOGIA,NOTA_LENGUA,NOTA_TECNOLOGIA,MEDIA,BECADO
9344,Ciencias Sociales y Juridicas,2016,Andalucia,0,1,Hombre,Espana,"4,32","6,31","9,11","5,77","6,38",0
9021,Ciencias Sociales y Juridicas,2017,Andalucia,0,1,Hombre,Espana,"4,32","6,31","9,11","5,77","6,38",0
8464,Ciencias Sociales y Juridicas,2018,Andalucia,0,1,Hombre,Espana,"4,32","6,32","9,12","5,77","6,38",0
8330,Ciencias Sociales y Juridicas,2019,Andalucia,0,1,Hombre,Espana,"4,32","6,32","9,12","5,77","6,38",1
8390,Ciencias Sociales y Juridicas,2020,Andalucia,0,1,Hombre,Espana,"4,32","6,32","9,13","5,78","6,39",0
8086,Ciencias Sociales y Juridicas,2021,Andalucia,0,1,Hombre,Espana,"4,33","6,32","9,13","5,78","6,39",0
6953,Ciencias Sociales y Juridicas,2022,Andalucia,0,1,Hombre,Espana,"4,33","6,33","9,14","5,78","6,4",0
6610,Ingenieria y Arquitectura,2016,Andalucia,0,1,Hombre,Espana,"7,38","5,29","5,78","9,08","6,88",1
6380,Ingenieria y Arquitectura,2017,Andalucia,0,1,Hombre,Espana,"7,39","5,3","5,79","9,08","6,89",0
6117,Ingenieria y Arquitectura,2018,Andalucia,0,1,Hombre,Espana,"7,39","5,3","5,79","9,09","6,89",0
5982,Ingenieria y Arquitectura,2019,Andalucia,0,1,Hombre,Espana,"7,4","5,3","5,79","9,09","6,9",1
5830,Ingenieria y Arquitectura,2020,Andalucia,0,1,Hombre,Espana,"7,4","5,31","5,8","9,1","6,9",0
5729,Ingenieria y Arquitectura,2021,Andalucia,0,1,Hombre,Espana,"7,4","5,31","5,8","9,1","6,9",1
1995,Ingenieria y Arquitectura,2022,Andalucia,0,1,Hombre,Espana,"7,41","5,31","5,8","9,11","6,91",1
1997,Artes y Humanidades,2016,Andalucia,0,1,Hombre,Espana,"4,32","5,29","9,11","4,66","5,84",0
1942,Artes y Humanidades,2017,Andalucia,0,1,Hombre,Espana,"4,32","5,3","9,11","4,66","5,85",0
1866,Artes y Humanidades,2018,Andalucia,0,1,Hombre,Espana,"4,32","5,3","9,12","4,67","5,85",0
1801,Artes y Humanidades,2019,Andalucia,0,1,Hombre,Espana,"4,32","5,3","9,12","4,67","5,85",0
1849,Artes y Humanidades,2020,Andalucia,0,1,Hombre,Espana,"4,32","5,31","9,13","4,67","5,86",0
1724,Artes y Humanidades,2021,Andalucia,0,1,Hombre,Espana,"4,33","5,31","9,13","4,67","5,86",0
1912,Artes y Humanidades,2022,Andalucia,0,1,Hombre,Espana,"4,33","5,31","9,14","4,67","5,86",0
1940,Ciencias de la Salud,2016,Andalucia,0,1,Hombre,Espana,"6,36","8,34","6,89","5,77","6,84",0
1905,Ciencias de la Salud,2017,Andalucia,0,1,Hombre,Espana,"6,36","8,34","6,9","5,77","6,84",0
1946,Ciencias de la Salud,2018,Andalucia,0,1,Hombre,Espana,"6,37","8,35","6,9","5,77","6,85",0
1885,Ciencias de la Salud,2019,Andalucia,0,1,Hombre,Espana,"6,37","8,35","6,9","5,77","6,85",0
1799,Ciencias de la Salud,2020,Andalucia,0,1,Hombre,Espana,"6,37","8,35","6,91","5,78","6,85",1
1877,Ciencias de la Salud,2021,Andalucia,0,1,Hombre,Espana,"6,38","8,36","6,91","5,78","6,86",0
1921,Ciencias de la Salud,2022,Andalucia,0,1,Hombre,Espana,"6,38","8,36","6,91","5,78","6,86",0
1966,Ciencias,2016,Andalucia,0,1,Hombre,Espana,"8,41","6,31","5,78","7,97","7,12",0
1871,Ciencias,2017,Andalucia,0,1,Hombre,Espana,"8,41","6,31","5,79","7,98","7,12",1
1751,Ciencias,2018,Andalucia,0,1,Hombre,Espana,"8,42","6,32","5,79","7,98","7,13",0
1815,Ciencias,2019,Andalucia,0,1,Hombre,Espana,"8,42","6,32","5,79","7,99","7,13",0
1928,Ciencias,2020,Andalucia,0,1,Hombre,Espana,"8,42","6,32","5,8","7,99","7,13",1
1638,Ciencias,2021,Andalucia,0,1,Hombre,Espana,"8,43","6,32","5,8","7,99","7,14",1
67,Ciencias Sociales y Juridicas,2016,Andalucia,0,1,Hombre,Union Europea,"4,32","6,31","9,11","5,77","6,38",0
80,Ciencias Sociales y Juridicas,2017,Andalucia,0,1,Hombre,Union Europea,"4,32","6,31","9,11","5,77","6,38",0
92,Ciencias Sociales y Juridicas,2018,Andalucia,0,1,Hombre,Union Europea,"4,32","6,32","9,12","5,77","6,38",0
69,Ciencias Sociales y Juridicas,2019,Andalucia,0,1,Hombre,Union Europea,"4,32","6,32","9,12","5,77","6,38",0
104,Ciencias Sociales y Juridicas,2020,Andalucia,0,1,Hombre,Union Europea,"4,32","6,32","9,13","5,78","6,39",0
91,Ciencias Sociales y Juridicas,2021,Andalucia,0,1,Hombre,Union Europea,"4,33","6,32","9,13","5,78","6,39",1
74,Ciencias Sociales y Juridicas,2022,Andalucia,0,1,Hombre,Union Europea,"4,33","6,33","9,14","5,78","6,4",0
55,Ingenieria y Arquitectura,2016,Andalucia,0,1,Hombre,Union Europea,"7,38","5,29","5,78","9,08","6,88",0
71,Ingenieria y Arquitectura,2017,Andalucia,0,1,Hombre,Union Europea,"7,39","5,3","5,79","9,08","6,89",1
52,Ingenieria y Arquitectura,2018,Andalucia,0,1,Hombre,Union Europea,"7,39","5,3","5,79","9,09","6,89",1
66,Ingenieria y Arquitectura,2019,Andalucia,0,1,Hombre,Union Europea,"7,4","5,3","5,79","9,09","6,9",0
80,Ingenieria y Arquitectura,2020,Andalucia,0,1,Hombre,Union Europea,"7,4","5,31","5,8","9,1","6,9",1
64,Ingenieria y Arquitectura,2021,Andalucia,0,1,Hombre,Union Europea,"7,4","5,31","5,8","9,1","6,9",0
60,Ingenieria y Arquitectura,2022,Andalucia,0,1,Hombre,Union Europea,"7,41","5,31","5,8","9,11","6,91",1
21,Artes y Humanidades,2016,Andalucia,0,1,Hombre,Union Europea,"4,32","5,29","9,11","4,66","5,84",0
27,Artes y Humanidades,2017,Andalucia,0,1,Hombre,Union Europea,"4,32","5,3","9,11","4,66","5,85",0
24,Artes y Humanidades,2018,Andalucia,0,1,Hombre,Union Europea,"4,32","5,3","9,12","4,67","5,85",0
31,Artes y Humanidades,2019,Andalucia,0,1,Hombre,Union Europea,"4,32","5,3","9,12","4,67","5,85",0
31,Artes y Humanidades,2020,Andalucia,0,1,Hombre,Union Europea,"4,32","5,31","9,13","4,67","5,86",0
22,Artes y Humanidades,2021,Andalucia,0,1,Hombre,Union Europea,"4,33","5,31","9,13","4,67","5,86",0
17,Artes y Humanidades,2022,Andalucia,0,1,Hombre,Union Europea,"4,33","5,31","9,14","4,67","5,86",0
19,Ciencias de la Salud,2016,Andalucia,0,1,Hombre,Union Europea,"6,36","8,34","6,89","5,77","6,84",0
18,Ciencias de la Salud,2017,Andalucia,0,1,Hombre,Union Europea,"6,36","8,34","6,9","5,77","6,84",1
12,Ciencias de la Salud,2018,Andalucia,0,1,Hombre,Union Europea,"6,37","8,35","6,9","5,77","6,85",0
17,Ciencias de la Salud,2019,Andalucia,0,1,Hombre,Union Europea,"6,37","8,35","6,9","5,77","6,85",1
19,Ciencias de la Salud,2020,Andalucia,0,1,Hombre,Union Europea,"6,37","8,35","6,91","5,78","6,85",0
11,Ciencias de la Salud,2021,Andalucia,0,1,Hombre,Union Europea,"6,38","8,36","6,91","5,78","6,86",1
